PLOT,SITE,N.MIN,N.INORG,VWC.MEAN,VWC.SD,TEMP.MEAN,TEMP.SD,SOIL.PH,SOIL.C,SOIL.N,SOIL.CN
Plot_1,Site_3,0.35289866732977215,1.0625174695993775,0.26396095347175386,0.018366579394255247,15.368553619719727,3.8172716513270526,4.03,24.313000000000002,1.0153999999999999,23.94425842032697
Plot_2,Site_3,0.3222083173454131,0.11916159321206962,0.26321259965237065,0.01793885411168979,15.508697331909074,3.8669611915662956,3.97,21.5545,0.845,25.50828402366864
Plot_3,Site_3,0.1680898885185295,0.4213501712018644,0.2683634199922855,0.018668644508884,15.298037577138725,3.7452057079902463,3.87,18.4805,0.6833,27.045953461144443
Plot_4,Site_3,0.22831474910561836,0,0.26447212255781793,0.01718286718608358,15.158535553144679,3.708368817362947,4.03,16.933,0.6838,24.76308862240421
Plot_5,Site_3,0.2778228284278699,0.3006207190387646,0.27436000811472633,0.021757905253322486,15.150270497635168,3.61139924979287,3.94,26.824000000000005,1.0995,24.396543883583455
Plot_6,Site_3,0.3976042246841433,0.045341131191272394,0.2744479763958988,0.024822039143447477,15.451408195761305,3.6947762911360083,3.79,36.6095,1.1588,31.592595788746976
Plot_7,Site_6,0.3019163776097977,0.8537337389290327,0.33267524144048616,0.010982200213029472,14.204287843147247,3.8638303938802268,5.09,22.259,1.4864,14.975107642626481
Plot_8,Site_6,0.4934859516788393,2.1472493471908796,0.33302120091242576,0.007218473500497492,14.315523770435263,3.994680959448592,4.63,18.7675,1.1804999999999999,15.897924608216858
Plot_9,Site_6,0.5695178748343716,3.5452211702297496,0.32924833093183287,0.01052090597287432,14.624089355848119,4.316069133353555,5.13,26.105,1.7736,14.718651330626972
Plot_10,Site_6,0.3549480295076089,1.9907932001381559,0.3225885495851622,0.012333895922502294,14.277980657219645,3.736758657285147,5.23,18.935,1.351,14.015544041450777
Plot_11,Site_6,0.35908201345654883,1.330047941133592,0.3241227800663567,0.01305505658151686,14.484083193532959,4.084465187864315,5.07,20.164,1.3639499999999998,14.783533120715573
Plot_12,Site_6,0.4097822802565465,1.8553169797742546,0.3433279433034445,0.008560652842504322,14.362517072910698,4.074690057897051,5.05,24.0835,1.63205,14.756594467081278
Plot_13,Site_7,0.37972335915409855,2.057763940316917,0.24134189171527407,0.036941125765389285,13.938927681067753,3.672369344541566,4.11,17.233,0.9475,18.187862796833773
Plot_14,Site_7,0.5149519536022851,1.980468122198022,0.2237889224741394,0.02977730187487537,13.893491487165702,3.6437014641941006,4.22,17.8625,1.0419,17.144159708225356
Plot_15,Site_7,0.3021142664234233,2.0217806033151,0.23905723392117037,0.03371155758045179,13.962764274986766,3.53405240511158,4.26,15.795,0.9792999999999998,16.128867558460126
Plot_16,Site_7,0.4349438960937248,2.480682720352199,0.22324469653909207,0.028695542479780504,13.87611825243071,3.4784399901185794,4.31,18.3585,1.12905,16.26013019795403
Plot_17,Site_7,0.3754111399860767,1.710273335627834,0.22597860953247423,0.030688896154649092,13.920419482484592,3.517566660404404,4.31,20.719500000000004,1.2850000000000001,16.12412451361868
Plot_18,Site_7,0.4538252575120848,2.536466838709192,0.22700955903681944,0.03577262677405767,13.965267063986591,3.714337321613606,4.35,16.2745,1.01585,16.020573903627504
Plot_19,Site_9,0.0500725445119634,1.657442923090134,0.2550029460306167,0.011013198151353596,14.546940634231504,3.6032157445738413,3.98,24.682500000000005,1.0999,22.44067642512956
Plot_20,Site_9,0.606846579479059,3.8992956158226404,0.25454459227996357,0.011452819356030883,14.564160666169364,3.7260913041665185,4.72,26.3455,1.2465,21.135579622944245
Plot_21,Site_9,0.4208839237584784,9.511621850567593,0.25510661633047116,0.011594095069252418,14.545483178940827,3.762131018398577,4.15,20.8615,0.8882500000000001,23.486068111455104
Plot_22,Site_9,0.27159844861854354,1.6054724890802456,0.25269138965600796,0.010550080315696436,14.651851681001894,3.613996837409661,4.11,19.767500000000002,0.8629500000000001,22.906889159279217
Plot_23,Site_9,0.3965470533045632,3.611748924009708,0.2500308988626792,0.011392737650473885,14.637251328612049,3.7717594634108496,4.35,25.304000000000002,1.13735,22.248208554974283
Plot_24,Site_9,0.4144679653590902,3.8010023838216456,0.24546003146799877,0.010233040671273235,14.912143291628466,4.042010612181361,4.48,20.008,1.01555,19.701639505686575
Plot_25,Site_20,0.31304785489899145,1.6106405389452774,0.2334930554273708,0.021028282637605193,15.64822039679247,3.203916164417843,3.78,38.2925,1.4388999999999998,26.612342761831954
Plot_26,Site_20,0.19662365135146512,0,0.23097139248702755,0.01893893425601638,15.436330921819,3.2917205483474388,4,19.5475,0.7728,25.294384057971012
Plot_27,Site_20,0.07870752320023004,0.9267884396565593,0.2260109845481334,0.020071882551481558,15.662415548271806,3.5543120080219053,4.1,17.7925,0.6887,25.834906345288225
Plot_28,Site_20,0.3402573482386656,1.210368824169064,0.22823453847697917,0.017979365441404705,15.339466399259903,3.4498204932172727,4.17,16.6045,0.6519999999999999,25.467024539877308
Plot_29,Site_20,0.1687302424188251,0.0062651507991568255,0.22308896894269611,0.01824532738583815,15.629433069858909,3.316694404307425,4.12,24.576500000000003,0.9851999999999999,24.945696305318723
Plot_30,Site_20,0.17251613273483218,0.47255226525115146,0.22086366697832915,0.015751137805273204,15.458065575539692,3.462261550035544,4.05,19.1105,0.7261000000000001,26.31937749621264
Plot_31,Site_22,1.1913378351991657,11.291845717275377,0.2565911255547952,0.011731002887605386,13.862871311763547,3.7384170998167785,6.34,67.208,5.22205,12.870041458814066
