Annotations/Genomes	Abscae1	Absrep1	Amyrou1	Bacci1	Benpoi1	Bifad1	Blatri1	Blatri_F921_1	Blatri_F986_2	Chabre1	Chlpad1	Chocucu1	Cirumb1	Cokrec1	Cunech1	Dicele1	Dicrob1	Ellano2	Endsp1	Fenlin1	FenlinCB54_1	Gilper1	Gonbut1	Halrad1	Helpul1	Hesve2finisherSC	Jimfl_AD_1	Jimfl_GMNB39_1	Jimlac1	Kircor1	Lenpar1	Lenzyc1	Liccor1	Lichy1	Licra1	Mucam1	Mucci2	Muccir1_3	Muccirc1	Mucend1	Mucfus1	Muclan1	Mucmuc1	Mucrac1	Mycafr1	Mycind1	Parpar1	Phaart1	Phybl2	PhyblU21_2	Phybl_L51_1	Phybla1	Pilano1	Pilumb1	PnitS607_1	PnitS608_1	PnitS609_1	Radspe1	Rhich1	Rhimi1_1	Rhimi_ATCC11559_1	Rhimi_ATCC52814_1	Rhior3	Rhisto1	Sakvas1	Spifus1	Spoumb1	Synrac1	Thaele1	Umban1	Umbelo1	Umbisa1	Umbra1	Umbsp_AD052_1	Zycmex1	Zyghet1	Annotation Description
CBM21	3	4	8	11	4		5	5	5	4	3	5	3	5	2	5	5	6	2	3	3	5	2	2	5	2	3	2	2	10	3	3	5	4			6	6					10		4	5	5	3	4	6	5	5	5	5	4	5	5	5	8	5	5	5	8	6		2	6	4	5	6	6	5	5	6	3	5	Carbohydrate-Binding Module Family 21
CBM32																1			1										1																																									1	1	1	1	1			Carbohydrate-Binding Module Family 32
CBM35													1				1			1	1																											1																								1			1		Carbohydrate-Binding Module Family 35
CBM43	2	2	1	1	1		1	1	1	1	3	1	1	1	2	2	2	1	1	1	1	1	2	2	1	2	1	1	1	1	2	2	2	2			1	1					1		1	1	1	1	2	2	2	2	1	1	2	2	2	2	2	1	1	1	2	2		1	2	1	1	2	2	2	2	2	1	1	Carbohydrate-Binding Module Family 43
CBM48	4	4	3	6	4		3	3	3	3	4	3	2	3	3	2	2	4	3	3	3	3	4	3	4	4	4	5	4	7	3	3	3	2			4	4					4		3	3	4	2	3	3	3	3	5	3	4	3	3	4	4	1	2	2	2	4		3	2	2	4	4	5	5	5	5	2	3	Carbohydrate-Binding Module Family 48
CBM50	6	8	6	10	5		5	6	6	2	9	6	2	6	5	5	4	4	31	4	2	5	6	3	5	4	18	17	12	11	1	3	8	6			2	4					5		4	4	4	4	7	8	8	8	5	4	6	6	3	6	5	3	3	4	4	6		3	4	5	3	24	11	11	30	23	4	6	Carbohydrate-Binding Module Family 50
CBM52																																																																						1	1	1	1	1			Carbohydrate-Binding Module Family 52
CBM63																											1	1	1																																																Carbohydrate-Binding Module Family 63
CBM66																																																																								1					Carbohydrate-Binding Module Family 66
CE	27	25	38	35	30		27	27	27	23	25	27	20	25	18	23	24	30	10	19	19	35	20	15	25	17	21	26	20	47	14	13	25	28			28	29					25		25	24	25	22	20	20	20	20	23	17	20	21	21	20	43	24	23	24	42	35		18	26	24	26	17	18	19	16	17	21	31	Carbohydrate Esterase family
CE2																											3	3	3																																																Carbohydrate Esterase Family 2
CE4	20	20	29	31	27		22	22	22	21	21	21	14	21	15	18	18	27	9	14	14	26	15	12	22	13	14	17	14	43	12	11	17	21			25	25					22		22	22	23	15	15	15	15	15	20	16	14	15	15	17	33	19	18	19	33	29		16	24	16	23	12	12	15	11	12	13	28	Carbohydrate Esterase Family 4
CE8			7				3	3	3			4	2						1	1	1	6	2				3	5					2	2														1	4	4	4	4			5	5	5		6	3	3	3	6	5				3		3	3	2	3	3	1		Carbohydrate Esterase Family 8
CE9	5	3	1	3	2		1	1	1	2	2	1	1	1	1	1	1	2		1	1	2	2	2	2	3	1	1	3	3	1	1	1	1			2	2					2		2	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1		1	2	2	2	2	2	2	2	2	1	2	Carbohydrate Esterase Family 9
CE14																																																																		1									1		Carbohydrate Esterase Family 14
CE16	2	2	1	1	1		1	1	1		2	1	3	3	2	4	5	1		3	3	1	1	1	1	1				1	1	1	5	4			1	2					1		1		1	5					1					1	2	1	1	1	2					3	1		1				5	1	Carbohydrate Esterase Family 16
EXPN	23	19	22	25	17		11	12	12	22	17	10	15	14	13	19	19	19	5	16	16	13	13	11	15	14	3	2	2	37	11	13	12	16			17	20					14		28	30	21	17	12	13	13	12	14	12	14	13	14	14	24	11	12	14	19	20		13	12	15	16	11	11	12	10	10	15	16	Distantly related to plant expansins
GH	113	103	141	138	89		88	92	88	82	115	88	121	72	90	99	111	103	95	125	146	97	121	90	107	87	129	138	159	116	74	76	101	114			94	102					117		65	74	83	122	80	86	87	87	89	64	79	79	78	72	159	91	92	90	131	126		54	85	112	99	176	193	181	169	167	118	122	Glycoside Hydrolase family
GH1																											1	3	1																																									2	3	3	2	2			Glycoside Hydrolase Family 1
GH2																			1								2	3	3																																									1	1	2	1	1			Glycoside Hydrolase Family 2
GH3	6	7	6	8	4		5	5	5	4	5	4	10	4	4	8	10	6	6	11	12	7	8	5	9	4	5	5	7	8	3	4	6	8			5	6					6		3	4	4	10	3	3	3	3	6	3	3	3	3	3	10	5	5	5	6	6		2	3	10	9	10	14	10	9	9	11	8	Glycoside Hydrolase Family 3
GH5	11	11	7	7	6		6	6	6	5	11	5	10	5	7	7	7	8	7	9	10	6	12	8	5	8	10	6	9	7	5	5	6	9			7	7					5		4	6	5	8	6	6	6	6	6	3	6	6	6	5	8	5	5	5	7	7		3	6	6	6	14	14	13	13	11	7	8	Glycoside Hydrolase Family 5
GH5_1																																																																						1	1		1	1			Glycoside Hydrolase Family 5 / Subf 1
GH5_5																			1								1	2	3																																																Glycoside Hydrolase Family 5 / Subf 5
GH5_7	1	1	1	1	1		1	1	1	1	2	1	5	1		2	2	2		4	4	1	4	1	1	1			1	1			1	3			2	2							1	1	1	3	1	1	1	1	1		1	1	1	1	2	1	1	1	1	1			1	1	1	3	3	2	3	3	2	1	Glycoside Hydrolase Family 5 / Subf 7
GH5_9	3	5	4	3	2		2	1	1	2	4	1	2	2	2	2	2	2	2	2	3	3	4	2	2	3	1	2		2	2	2	2	2			2	2					2		1	2	2	2	2	2	2	2	2	1	2	2	2	1	3	2	2	2	4	4		1	3	2	2	4	4	4	4	3	2	3	Glycoside Hydrolase Family 5 / Subf 9
GH5_12	3	2	2	2	2		2	2	2	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	1	4	3	2	2	1	2			2	2					2		2	3	2	2	2	2	2	2	3	2	2	2	2	3	3	2	2	2	2	2		2	2	2	2	2	2	2	2	1	2	2	Glycoside Hydrolase Family 5 / Subf 12
GH5_27	1	1		1	1										2			1	1				1	1		1	1	1	1	1			1	1			1	1																															1	1	1	1	1	1		1	Glycoside Hydrolase Family 5 / Subf 27
GH5_31																																																																								1					Glycoside Hydrolase Family 5 / Subf 31
GH5_50	1	1									1		1		1	1	1	1		1	1		1	1		1					1	1	1	1														1	1	1	1	1			1	1	1											1		1	1	1	1	1	1	1	Glycoside Hydrolase Family 5 / Subf 50
GH5_dist																			1								2																																																		Glycoside Hydrolase Family 5
GH6																			1																																																			1	1		1	1			Glycoside Hydrolase Family 6
GH8	4	1	1	1	2		1	2	1	2	3	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			2	2					2		1	1	2	1	1	1	1	1	2	1	1	1	1	1	3	1	2	1	1	1		1	1	1	1	1	1	1	1	1	1	2	Glycoside Hydrolase Family 8
GH9	3	3	4	7	3		2	2	2	3	3	2	3	2	3	3	3	4	5	3	3	3	2	2	4	2	7	7	7	4	3	3	4	4			4	4					3		4	4	5	3	2	2	2	2	3	3	2	2	2	4	6	3	3	3	5	4		1	3	3	4	4	4	3	4	4	3	5	Glycoside Hydrolase Family 9
GH10																			1								1	1	1																																									1	1		1	1			Glycoside Hydrolase Family 10
GH11																							1																																																						Glycoside Hydrolase Family 11
GH12													5				2		1	1	1		1				1		1				1	1														4																				1		1	1	1	1	1	1		Glycoside Hydrolase Family 12
GH13	2	2	3	5	2		2	2	2	2	2	2	3	2	3	4	3	2	8	3	3	2	5	2	2	3	6	8	6	4	2	2	5	4			2	2					2		2	2	2	3	2	2	2	2	2	2	2	2	2	2	6	2	3	3	4	4		2	2	3	2	6	7	5	7	6	3	2	Glycoside Hydrolase Family 13
GH13_1			1										1		1	2	1		2	1	1		2			1	4	5	5				2	2														1											2	1	1	1	1	1				1		1	1	1	1	1	1		Glycoside Hydrolase Family 13 / Subf 1
