Annotations/Genomes	Acain1	Cerbo1	Cersp1	Exomac1	Exova1	Hethyg1	Jamsp1	Kalbr1	Malgl1	Malpa1	Malsy1_1	Malve1	Meimi1	Melen1	Moean1	Moeaph1	Monili2	Psean1_1	Psefl1	Psehu1	Rhanym2_1	Rhodsp1	Spore1	Tescy1	Tilalb1	Tilan2	Tilca1	Tilcar1	Tilco1	Tilin1	Tillet1	Tilwa1	Tilwal1	Uroocc1	Uropr1	Ustbr1	Ustgig1	Usthor1	Ustma2_2	Ustsp1	Annotation Description
GH8									1		1			1		1	1	1		1			1		1	1					1				1		1		1	1	Glycoside Hydrolase Family 8
GH9	1		1	1	1	1	1						1	1		1	1	1		1	1	1	1		1	1					1			1			1		1	1	Glycoside Hydrolase Family 9
GH10				2	2									3		2		2		2	1		2	1										1	1				2	1	Glycoside Hydrolase Family 10
GH11	1		1										3			1		1		1														1					1		Glycoside Hydrolase Family 11
GH12	3		1														2																								Glycoside Hydrolase Family 12
GH13	6		5	4	5	4	4						8	2		2	3	6		5	4	4	5	3	4	4					4	5		3	4		5		5	5	Glycoside Hydrolase Family 13
GH13_1																1		1																						1	Glycoside Hydrolase Family 13 / Subf 1
GH13_5	1		1	1	1	1	1						1	1			1	1		1		1	1		1	1					1	1		1	1		1		1	1	Glycoside Hydrolase Family 13 / Subf 5
GH13_8	1		1	1	1	1	1						1	1		1	1	1		1	1	1	1	1	1	1					1	1			1		1		1	1	Glycoside Hydrolase Family 13 / Subf 8
GH13_22					1								1																												Glycoside Hydrolase Family 13 / Subf 22
GH13_25	1		1	1	1	1	1						1				1	1		1	1	1	1	1	1	1					1	1			1		1		1	1	Glycoside Hydrolase Family 13 / Subf 25
GH13_40	3		2	1	1	1	1						4					2		2	2	1	2	1	1	1					1	2		2	1		2		2	1	Glycoside Hydrolase Family 13 / Subf 40
GH15	1		1	1	1	2	1						1	1		1	2	1		1	2	1	1	1	2	2					2	2		1	1		2		1	2	Glycoside Hydrolase Family 15
GH16	14		13	17	12	13	16		7		6		16	12		17	21	17		18	12	10	16	12	11	12					24	12		2	11		16		21	13	Glycoside Hydrolase Family 16
GH17	3		2	5	2	1	3						2	3		2		2		2	3	2	2	1	3	2					4	2		2	3		1		2	3	Glycoside Hydrolase Family 17
GH18	3		3	4	4	3	5		1		1		3	3		3	4	3		3	3	3	3	3	4	5					10	2		3	3		3		3	3	Glycoside Hydrolase Family 18
GH20	2		2	1	2	2	2						2	2		2	2	2		2	2	1	2	3	3	2					3	2		1	1		2		2	2	Glycoside Hydrolase Family 20
GH23	2		1	2	1	1	1						3	1		1		1		1	1	1	1	1	2						5	1			1		1		1	1	Glycoside Hydrolase Family 23
GH24																															1										Glycoside Hydrolase Family 24
GH25	1		1			1							1			1		1		1			1		1	1					1	1			1		1		1	1	Glycoside Hydrolase Family 25
GH26						1							1			1		1		1		2	1	1	1						2	2			1		1		1	1	Glycoside Hydrolase Family 26
GH27	1		2			1	2						3			3		3		2	1	1	2	2	1	2					2			1			2		1	1	Glycoside Hydrolase Family 27
GH28	4		1	1	1	1	3							1		1	1	2		2			2		3	1								1	1		1		1	3	Glycoside Hydrolase Family 28
GH29													1																												Glycoside Hydrolase Family 29
GH30	2			2	1	1	2						1	2		2	3	2		2	4	3	2	2	2	3					4	1		1	1		2		2	3	Glycoside Hydrolase Family 30
GH30_3	2			2	1	1	2						1	2		1	3	1		1	2	3	2	2	2	3					4	1		1			2		1	2	Glycoside Hydrolase Family 30 / Subf 3
GH31	6		4	4	3	2	3		2		1		6	1		4	2	4		4	3	3	3	2	5	3					3	4			1		2		3	6	Glycoside Hydrolase Family 31
GH32	2		2	3	2	2	1						2	2		2	2	2		2	1	1	2	2	1	2					1	2			1		2		2	3	Glycoside Hydrolase Family 32
GH35			1			1							3			1		1		1	1		1		1	1					2	1		1			2		1	1	Glycoside Hydrolase Family 35
GH36	1		1	1	1								1	1		2		2		2			1		1	1					1	2		1			1		1	1	Glycoside Hydrolase Family 36
GH37	2		1	1	1	1	1		1		1		1	2		1	1	2		2	1	2	2	3	1	1					1	1		1	2		2		2	1	Glycoside Hydrolase Family 37
GH38	1		1	1	1	1	1						1	1		2	2	2		1	1	1	1	1	1	1					1	1			1		2		2	2	Glycoside Hydrolase Family 38
