Annotations/Genomes	Agahy1	Atrsp2	Chiap1	Chicu1	Croqu1	Eryha1	Hetpy1	Hyabl1	Leucr1	MecolCla_1	Melame1	Melap1finSC_191	Melli1	Melli2_A	Melli2_B	Mellp2_3	Melme_tre1	Melmed1	Mereb1	Micin1	Micld1	Mixos1	Naifl1	Naose1	ObeP2C70	Pgt_201_A1	Pgt_201_B1	Pgt_Ug99_A1	Pgt_Ug99_C1	Phapa1	PhapaK8108	Phlfa1	PpacPPUFV02	PuccoNC29_1	PuccoSD80_1	Pucgr2	Pucso1	Pucst1	Pucst_PST78	Pucst_PST78_1	Pucstr1	Puctr1	Puctri1	RhoCCFEE5036_1	Rhoba1_1	Rhodia1_1	RhodotJ31_1	Rhoglu1	Rhoglu91_1	Rhomi1	Rhomuc1	Rhosp1	Rhota1	Rhoto1	Rhoto_ATCC26217_1	Rhoto_IFO0559_1	Rhoto_IFO0880_2	Rhoto_IFO0880_4	Rhoto_IFO1236_1	Sepsp1	Slopil1	Slotsu1	Spogra1_1	Spoli1	Spopa1	Sporo1	Trisp1	Annotation Description
GH88		1							1										1				1		1							1															1	1	1		1	1		1	1	1	1	1	1		1	3						Glycoside Hydrolase Family 88
GH92		5			2					4	1	6	1			2	6	3				1	6									4								1																												Glycoside Hydrolase Family 92
GH93		3																				1										1																																				Glycoside Hydrolase Family 93
GH95		3																														2																														1						Glycoside Hydrolase Family 95
GH104																																								1																												Glycoside Hydrolase Family 104
GH105		1																														1																		1																		Glycoside Hydrolase Family 105
GH106									1										1													2																																				Glycoside Hydrolase Family 106
GH114	1	1	1	1		3													2				1	1																										2											2	1	1	1			2	Glycoside Hydrolase Family 114
GH115																																1																																				Glycoside Hydrolase Family 115
GH125		2							1										1		1	1	1	1	1							1						2		1	2	1																		1	1						1	Glycoside Hydrolase Family 125
GH127		1																														1																																				Glycoside Hydrolase Family 127
GH128	5	5	4	5		4	2	2	3										6		1			2	6							1													1	2	3	2	2	5	3	2		2	2	2	2	2	2		2	1	3	5	2	1		Glycoside Hydrolase Family 128
GH131					5		1			15	4	4	5			9	6	6								4	4	8	9	2	4	1	4	6	9	4		7		7	20	4																										Glycoside Hydrolase Family 131
GH133	1	1	1	1	1	1	1	1	1	2	1	1	1			1	2	5	1		1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1		2		1	4	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	3	1	1	1	1	1	1	Glycoside Hydrolase Family 133
GH135	1		1	1		1			4										1			1			1																				2	1		2	2					1	1	1	2	2	2				2		1	1		Glycoside Hydrolase Family 135
GH140						1			2										2																																										1							Glycoside Hydrolase Family 140
GH145									1										1																																																	Glycoside Hydrolase Family 145
GH152	3				1	2	3	3	6	6	2	1	1			1	3	2	6					2	5	5	6	5	5			3		14	12	2		2		6	8	6			3	4	2	4	4		3	3		4	4	4	2	4	3		3	1	2	2	5	5		Glycoside Hydrolase Family 152
GH154		1																														1																																				Glycoside Hydrolase Family 154
GT73																																								1																												GlycosylTransferase Family 73
GT	76	117	90	73	73	113	87	89	106	167	90	86	84			91	99	92	133		93	101	83	126	113	107	108	98	97	115	103	83	104	139	139	91		108		114	177	116			99	99	95	99	96	89	95	94		96	94	99	93	96	94	105	128	119	109	137	89	74	59	Glycosyl Transferase family
GT1	5	21	9	4	5	5	5	6	5	13	10	7	7			8	8	7	6		3	4	6	5	7	10	10	9	9	30	27	4	26	14	12	7		17		11	20	11			3	3	3	3	3	4	3	3		3	3	3	3	3	3	7	5	5	4	6	3	2	4	GlycosylTransferase Family 1
GT2	16	17	18	12	13	19	14	14	15	32	15	14	15			14	24	19	25		16	13	14	17	18	22	24	22	20	11	11	16	13	24	26	16		20		22	37	24			15	16	14	14	14	15	14	14		14	14	15	14	14	14	19	19	19	16	24	16	15	11	GlycosylTransferase Family 2
GT3	1	1	2	1	2	1	1	1	1	2	1	1	1			1	1	1	1		1	1	1	1	2	1	2	1	4	1	1	1	1	1	2	3		2		3	2	6			1	2	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	GlycosylTransferase Family 3
GT4	5	5	7	6	3	7	4	4	6	7	3	3	3			4	3	3	11		8	4	4	5	7	4	4	3	3	4	3	4	3	6	6	4		5		5	5	3			9	10	8	8	7	4	9	8		7	7	8	7	7	7	7	6	6	3	10	8	6	3	GlycosylTransferase Family 4
GT5					1					4	2	5	2			3	4	3	1						3	5	2	3	3	4	3		2	4	3	2		2		2	4	3																1		1				1			1	GlycosylTransferase Family 5
GT8	1	4	6	4	1	8	4	3	3	3	4	3	2			3	2	2	7		3	6	3	7	5	2	2	2	1	1	1	4	1	2	2	1				2	3	2			5	3	5	3	3	4	5	4		3	3	3	3	3	3	2	6	3	8	10	2	2	2	GlycosylTransferase Family 8
GT10				2	1		1	2	4										1		1		1			2	2	1	1	1	1		1	6	5	1		2		2	4	1			1	1		2	3					3	2	3	2	3	2		11	1			1	1		GlycosylTransferase Family 10
GT14																																													1																				2	1		GlycosylTransferase Family 14
GT15	4	4	3	3	1	4	3	3	4	5	2	2	2			2	3	5	8		3	4	4	8	3	3	2	4	1	3	3	2	1			2		2		1	2	5			5	5	4	4	4	2	4	4		4	4	4	4	4	4	2	4	4	4	7	4	4	3	GlycosylTransferase Family 15
GT17		3				1	1	1	1										1		1	1	1	1	2							1													1	1	2	2	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		GlycosylTransferase Family 17
GT20	2	5	2	2	2	3	2	2	2	3	5	3	3			3	3	2	2		3	3	3	3	3	2	3	2	2	2	2	3	2	4	4	2		1		2	4	2			2	2	2	3	3	3	2	2		3	3	2	2	2	2	2	3	3	3	3	2	2	3	GlycosylTransferase Family 20
GT21	1	2	1	1	1	1	1	1	1	2	2	1	1			1	1	1	1		1	1	1	1	1	5	5	4	3	1	1	1	1	2	2	3		2		2	3	2			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	GlycosylTransferase Family 21
GT22	3	5	4	4	4	4	4	4	4	9	4	4	3			5	4	4	4		3	3	3	4	4	6	8	6	6	13	7	3	5	7	7	6		5		6	10	6			4	4	4	4	4	3	4	4		4	4	4	4	4	4	4	4	4	3	4	4	4	6	GlycosylTransferase Family 22
GT24	1	1	1	1	1	1	1	1	1	2	1	1	1			1	1	1	1		1	1	1	1	1	3	1	1	1	1	1	1		2	1	1		1		1	2	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	GlycosylTransferase Family 24
GT25					1	1				2	1	2	1			1	1							1			3								3	2		1		2	4																											GlycosylTransferase Family 25
GT28																									1																																											GlycosylTransferase Family 28
GT31	6	4	4	5	5	6	4	4	5	10	5	5	7			5	4	5	6		5	12	3	12	5	7	7	7	6	4	5	6	5	8	8	5		6		7	11	5			4	6	5	6	4	5	5	5		5	5	5	5	5	5	8	6	6	6	4	5	4	2	GlycosylTransferase Family 31
GT32	3	7	5	5	3	6	3	3	4	7	4	4	6			4	3	5	7		6	5	4	8	5	2	2	2	2	2	3	3	2	2	4	6		5		2	5	5			4	3	3	3	3	5	3	3		3	3	3	3	3	3	8	3	3	7	13	3	1	7	GlycosylTransferase Family 32
GT33	1	1	1	1	1	1	1	1	1	2	1	1	1			1	2	1	1		1	1	1	1	1	2	1	2	2	1		1	1	2	1	1		1		3	2	2			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	GlycosylTransferase Family 33
GT34			1	1		3																		8																																				1			2					GlycosylTransferase Family 34
GT35	1	2	1	1		1	1	1	1										1		1		1	2	1					1	1	1	1							1					1	3	1	2	1	1	1	1		1	1	1	1	1	1	3	1	1		1	1	1	1	GlycosylTransferase Family 35
GT39	3	4	3	3	3	3	3	3	3	6	6	3	4			3	3	3	4		3	3	3	3	3	4	6	3	10	3	4	3	4	5	6	3		7		6	7	5			3	3	3	3	3	3	3	3		3	3	3	2	3	4	3	3	3	3	3	3	3	2	GlycosylTransferase Family 39
GT41	1	1	1	1	2		1	1	1	6	1	1	1			2	1	1	1		1	1	1		1	1	1	1	2	1	2	1	1	2	3	1		1		2	2	1			1	1	1	1	1		1	1		1	1	1	1	1	1	1	1	1		1	1	1	1	GlycosylTransferase Family 41
GT43					3	3			1	4	2	2	4			2	2	2						2		2	2	2	2	2	2		2	6	5	3		2		4	4	3			1		1	1	1	5	1	1		1	1	1	1	1	1	1	1	1	5	3			1	GlycosylTransferase Family 43
GT47	2	3	1	1		6	4	4	5										6		3	4	2	2	4							2													2	3	3	4	4	2	3	3		4	4	4	4	4	4	4	4	4	4	9	3	1		GlycosylTransferase Family 47
GT48	1	1	1	1	1	1	1	1	1	6	1	5	2			7	3	2	1		1	1	1	1	1	1	1	1	2	3	3	1	3	2	2	1		2		2	4	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	2	1	1	1	GlycosylTransferase Family 48
GT49	1	3	1	1	1	1	2	1	2	2	1	1	1			1	1	1	2		2	2	1	2	3	1	1	1	1	1	1	1	4	4	3	1		1		2	2	1			2	2	2	2	2	1	2	2		2	2	2	2	2	2	2	2	3	5	2	1	1	1	GlycosylTransferase Family 49
GT50	1	3	1	1	1	1	1	1	1	2	1	1				1	1	1	1		1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1		2		3	4	3			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	GlycosylTransferase Family 50
GT51																																										1																										GlycosylTransferase Family 51
GT57	2	2	2	2	2	2	2	2	2	4	2	2	2			2	3	5	2		2	2	4	2	2	3	2	2	2	4	2	2	5	5	4	2		3		2	4	2			2	2	2	2	2	2	2	2		2	2	2	2	2	2	2	2	2	2	2	2	2	1	GlycosylTransferase Family 57
GT58	2	1	3	3	1	1	1	1	1	3	1	1	1			2	1	1	1		1	1		1	1	1	2	1	1	1		3	1	2	2	1		1		1	2	2			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	GlycosylTransferase Family 58
GT59	1	1	1	1	1	1	1	2	1	2	1	1	1			1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1		2		2	2	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1		GlycosylTransferase Family 59
GT62	1	2	1	1		3			3										2		3	2		5	4							2													2	2	2	2	2	2	2	2		2	2	2	2	2	2	3	4	3	2	2				GlycosylTransferase Family 62
GT64		1	1	1		4	2	2	4										5		1	6		4	3																				5	1	4	3	3	3	4	3		3	3	3	3	3	3	1	3	7	3	2	2			GlycosylTransferase Family 64
GT66	1	1	1	1	1	1	1	1	1	4	3	1	1			1	4	4	1		1	1	1	1	1	2	1	2	1	1	1	1	3	2	2	2		2		1	2	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	GlycosylTransferase Family 66
GT69	1	2	1		1	3	2	3	3	4	1	1	3			1	1	1	4		2	2	4	3	4	2	2	2	2	3	2	2	2	7	6	2		2		4	8	8			2	4	3	4	5	2	3	3		4	4	5	4	4	3	2	5	7	1	7	3	2	1	GlycosylTransferase Family 69
GT71	2	3	1	1	2	2	4	4	3	4	2	2	4			2	3	2	4		2	1	2	3	5	1	1	1	1	7	7	2	5	2	2	1		1		1	2	1			2	4	4	3	3	2	4	4		3	3	4	3	3	3	3	4	4	4	1	4	2		GlycosylTransferase Family 71
GT76	1	1	1	1	1	1	1	1	1	2	1	1				1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1		2		1	2	1			1	1	1	1	1	1	1	1		1		1	1	1	1	1	1	1	1	1	1		1	GlycosylTransferase Family 76
GT77			2	1					3																																							1	1					1	1	1	1	1	1		7	7						GlycosylTransferase Family 77
GT90	6	6	3		8	8	11	11	12	15	7	8	5			9	10	8	13		11	13	10	9	9	10	8	10	6	5	6	9	6	13	13	9		8		9	14	7			12	9	9	9	9	10	9	11		9	9	9	9	9	9	9	13	11	13	10	8	9		GlycosylTransferase Family 90
Myosin_motor	2	1	2	2	2	2	1	1	2		3	2	2			2	2	2	2		2	2	2	2	2	2	3	2	2	2	2	2	2	4	3	2		2		4	7	2			1	2	2	2	2	2	2	2		2	2	3	2	2	2	2	2	2	2	2	2	1	2	Glycosyltransferase Family 2
PL38																																																														3						Polysaccharide Lyase Family 38
PL	1	6	3	4	19	3	4	4	7	25	10	17	8			9	20	17	7		4	6	3	4	6	8	8	7	7	5	9	10	4	12	13	6		7		6	6	7			6	6	4	4	4	4	4	3		4	4	4	4	4	4	2	7	5	4	4	5	2	1	Polysaccharide Lyase family
PL1					7					9	2	5	2			4	8	7								6	6	5	5	1	2		2	8	9	5		4		4	2	5			1	1																						Polysaccharide Lyase Family 1
PL1_4					7					9	2	5	2			4	8	7								6	6	5	5	1	2		2	8	9	5		2		4	2	5																										Polysaccharide Lyase Family 1 / Subf 4
PL3		1			2					11	5	8	1			2	9	7				2	1							3	6		1																														1					Polysaccharide Lyase Family 3
PL3_2		1								3	2						1	3					1								1		1																														1					Polysaccharide Lyase Family 3 / Subf 2
PL3_dist										2		3				1	1	1				2								3	5																																					Polysaccharide Lyase Family 3
PL4					7		1	1																																																												Polysaccharide Lyase Family 4
PL4_1								1																																																												Polysaccharide Lyase Family 4 / Subf 1
PL4_3					5																																																															Polysaccharide Lyase Family 4 / Subf 3
PL7																																3																																				Polysaccharide Lyase Family 7
PL7_4																																3																																				Polysaccharide Lyase Family 7 / Subf 4
PL14		3	2	3	2	2	1	1	5	3	2	3	2			2	2	2	5		2	2	1	3	4	1	1	1	1			4		2	2			1		1	2				4	4	3	3	3	2	3	2		3	3	3	3	3	3	1	5	3	2		4	1		Polysaccharide Lyase Family 14
PL14_3		2	2	1					1	1	1						1	1			1											1													1	1			1			2										2			1			Polysaccharide Lyase Family 14 / Subf 3
PL14_5		1																							1																					3		1	1					1	1	1	1	1	1				1					Polysaccharide Lyase Family 14 / Subf 5
PL14_dist																										1	1	1	1					2	2			1		1	2																											
PL35	1	2	1	1	1	1	2	2	2	2	1	1	3			1	1	1	2		2	2	1	1	2	1	1	1	1	1	1	3	1	2	2	1		2		1	2	2			1	1	1	1	1	2	1	1		1	1	1	1	1	1	1	2	2	1	4	1	1	1	Polysaccharide Lyase Family 35
