Annotations/Genomes	Agahy1	Atrsp2	Chiap1	Chicu1	Croqu1	Eryha1	Hetpy1	Hyabl1	Leucr1	MecolCla_1	Melame1	Melap1finSC_191	Melli1	Melli2_A	Melli2_B	Mellp2_3	Melme_tre1	Melmed1	Mereb1	Micin1	Micld1	Mixos1	Naifl1	Naose1	ObeP2C70	Pgt_201_A1	Pgt_201_B1	Pgt_Ug99_A1	Pgt_Ug99_C1	Phapa1	PhapaK8108	Phlfa1	PpacPPUFV02	PuccoNC29_1	PuccoSD80_1	Pucgr2	Pucso1	Pucst1	Pucst_PST78	Pucst_PST78_1	Pucstr1	Puctr1	Puctri1	RhoCCFEE5036_1	Rhoba1_1	Rhodia1_1	RhodotJ31_1	Rhoglu1	Rhoglu91_1	Rhomi1	Rhomuc1	Rhosp1	Rhota1	Rhoto1	Rhoto_ATCC26217_1	Rhoto_IFO0559_1	Rhoto_IFO0880_2	Rhoto_IFO0880_4	Rhoto_IFO1236_1	Sepsp1	Slopil1	Slotsu1	Spogra1_1	Spoli1	Spopa1	Sporo1	Trisp1	Annotation Description
CBM18	1		1			1	1	1	2										4				1	4	1																				1	1	2	2	1	1	2	2		2	2	2	2	2	2		46	14			2			Carbohydrate-Binding Module Family 18
CBM20		6			1		1	1	1	1		1	1				1		3					1								2																													1	1			1	1		Carbohydrate-Binding Module Family 20
CBM21	1	6	1	1	1	1	1	1	1	2	1	1	1			1	1	1	1		2	1	1	2	1	1	1	1	1	1	3	4	1	1	1	1		1		1	2	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1	2	1	1	1	1	1		1	Carbohydrate-Binding Module Family 21
CBM32	1		1	1					1										1						1	1	1	1	1					6	8	1		3		5	8	3			1	1	1	1	1		1	1		1	1	1	1	1	1		1				1	1		Carbohydrate-Binding Module Family 32
CBM35					2					3	2	2	2			2	2	2	1							4	3	5	4	3	3		2	2	2	7		2		5	14	5																										Carbohydrate-Binding Module Family 35
CBM43		3								2	1	1	1			1	1	1				2	1			1	2	1	1	1	1		1	2	1	1		1		1	2	1																		1				1			1	Carbohydrate-Binding Module Family 43
CBM48	3	2	2	2	3	4	2	2	4	6	3	5	3			3	5	2	5		3	3	3	4	3	5	4	6	3	3	3	5	4	6	4	4		3		3	6	4			2	3	3	2	3	4	3	2		3	3	3	3	3	3	3	4	4	3	4	2	2	3	Carbohydrate-Binding Module Family 48
CBM50	2		2	1	1	2	2	3	1	2	1	1				1	3		2		2	1		1	2	1	1	1	1	1	1	1	1	1	2					2	2	1			1	1	1	1	1	3	1	1		1	1	1		1		1	5	2	1	2	1		2	Carbohydrate-Binding Module Family 50
CBM52		2																																																																		Carbohydrate-Binding Module Family 52
CBM63					4	2			2	14	10	5	2			7	10	8								6	7	7	7	6	6		5	10	9	7		7		8	17	5																					1					Carbohydrate-Binding Module Family 63
CE	7	22	7	5	32	10	6	6	19	84	33	45	23			33	53	43	28		16	13	30	10	13	29	30	32	31	19	21	21	19	47	39	34		34		38	70	30			12	13	8	10	11	12	9	10		8	9	8	10	11	10	11	14	13	10	18	7	7	10	Carbohydrate Esterase family
CE1																																1																																				Carbohydrate Esterase Family 1
CE4	4	12	5	5	19	5	6	6	11	34	19	21	15			18	21	18	20		9	5	19	8	7	16	17	17	18	13	15	5	13	24	18	17		18		20	39	17			7	7	6	7	8	9	7	7		6	6	6	7	8	8	9	12	8	6	13	5	5	8	Carbohydrate Esterase Family 4
CE5	1	8			6	1				37	8	9	3			10	21	16				3	7			8	8	10	8	2	2	4	2	16	12	8		10		10	21	6			2	3		1	1	1				1	1	1	1	1	1				2	2				Carbohydrate Esterase Family 5
CE8		1			7				2	12	6	15	5			5	11	9			5		2			5	5	5	5	4	4		4	7	9	8		6		8	10	7																										Carbohydrate Esterase Family 8
CE9						1			2										1						1																																										1	Carbohydrate Esterase Family 9
CE12	2	1				1																5																												1													1					Carbohydrate Esterase Family 12
CE15																																1																																				Carbohydrate Esterase Family 15
CE16			2			2			4	1									7		2		2	2	5							10				1									3	3	2	2	2	1	2	3		1	2	1	2	2	1	2	2	5	1	3	2	2	1	Carbohydrate Esterase Family 16
EXPN	12	13	14	14	13	12	13	13	15	42	25	21	14			20	25	21	16		13	9	9	10	10	20	21	21	18	10	12	6	11	35	37	22		17		23	47	21			9	13	9	9	12	9	11	7		12	8	14	12	10	12	9	12	25	10	9	13	10	14	Distantly related to plant expansins
GH16_1																																														5																						Glycoside Hydrolase Family 16 / Subf 1
GH16_2																																														5																						Glycoside Hydrolase Family 16 / Subf 2
GH16_4																																														1																						Glycoside Hydrolase Family 16 / Subf 4
GH16_19																																														2																						Glycoside Hydrolase Family 16 / Subf 19
GH43_5																																														1																						Glycoside Hydrolase Family 43 / Subf 5
GH	84	202	75	77	166	106	74	75	123	394	188	216	153			203	251	235	159		84	81	103	71	126	198	189	209	202	161	184	156	167	270	246	182		213		216	363	171			74	63	70	79	77	85	69	65		75	78	76	77	79	76	118	116	99	99	110	88	71	58	Glycoside Hydrolase family
GH1	1	3				1	1	1	1												1				1							2																		1											2		1					Glycoside Hydrolase Family 1
GH2	1	4	2	1	4	1	1	1	1	9	5	7	6			4	4	6	1		1	1	3	1	1	8	8	8	10	2	2	4	2	10	9	11		5		4	8	4			1	1	1	1	1	1	1	1		1	1	1	1	1	1	2	1	1	1	1	1	1	2	Glycoside Hydrolase Family 2
GH3	4	13	1	1	4	5	1	1	5	10	4	5	2			4	10	5	11		4		4		5	2	2	3	2	2	2	8	2	4	4	2		2		2	4	2			4	5	4	5	5	2	4	3		4	4	4	5	5	5	2	4		5	2	3	3	3	Glycoside Hydrolase Family 3
GH5	11	24	12	13	25	21	12	14	16	59	29	39	26			31	38	37	22		19	14	19	16	24	37	37	36	32	28	33	30	30	41	37	32		36		42	59	32			11	11	10	12	12	15	10	10		12	12	12	12	12	12	22	18	14	23	21	15	9	12	Glycoside Hydrolase Family 5
GH5_5		1			3	3				11	6	7	4			4	7	10							4	6	6	6	6	4	6	3	4	4	2	8		5		5	7	4																					3					Glycoside Hydrolase Family 5 / Subf 5
GH5_7	1				2				1	2	1	1	1			1	1	1					1			2	5	2	1	1	1	2	1	3	4	2		2		2	4	3								1										1			1					Glycoside Hydrolase Family 5 / Subf 7
GH5_9	1	5	3	4	6	6	3	3	4	12	7	6	5			7	7	6	6		5	4	5	2	3	6	6	6	5	11	15	4	12	9	8	4		10		8	13	6			2	2	2	2	2	7	2	2		2	3	2	2	2	2	5	5	3	6	9	3	2	6	Glycoside Hydrolase Family 5 / Subf 9
GH5_11																																1																																				Glycoside Hydrolase Family 5 / Subf 11
