Annotations/Genomes	Metani1	Annotation Description
GH130		Glycoside Hydrolase Family 130
GH132	2	Glycoside Hydrolase Family 132
GH133	1	Glycoside Hydrolase Family 133
GH135	5	Glycoside Hydrolase Family 135
GH136	1	Glycoside Hydrolase Family 136
GH141		Glycoside Hydrolase Family 141
GH142		Glycoside Hydrolase Family 142
GH152	1	Glycoside Hydrolase Family 152
GH154	2	Glycoside Hydrolase Family 154
GT109	2	GlycosylTransferase Family 109
GT	116	Glycosyl Transferase family
GT1	13	GlycosylTransferase Family 1
GT2	14	GlycosylTransferase Family 2
GT3	1	GlycosylTransferase Family 3
GT4	7	GlycosylTransferase Family 4
GT8	5	GlycosylTransferase Family 8
GT15	4	GlycosylTransferase Family 15
GT17	2	GlycosylTransferase Family 17
GT20	4	GlycosylTransferase Family 20
GT21	1	GlycosylTransferase Family 21
GT22	4	GlycosylTransferase Family 22
GT24	1	GlycosylTransferase Family 24
GT25	8	GlycosylTransferase Family 25
GT31	11	GlycosylTransferase Family 31
GT32	9	GlycosylTransferase Family 32
GT33	1	GlycosylTransferase Family 33
GT34	4	GlycosylTransferase Family 34
GT35	1	GlycosylTransferase Family 35
GT39	3	GlycosylTransferase Family 39
GT41	1	GlycosylTransferase Family 41
GT48	1	GlycosylTransferase Family 48
GT50	1	GlycosylTransferase Family 50
GT57	2	GlycosylTransferase Family 57
GT58	1	GlycosylTransferase Family 58
GT59	1	GlycosylTransferase Family 59
GT61	1	GlycosylTransferase Family 61
GT62	3	GlycosylTransferase Family 62
GT64	1	GlycosylTransferase Family 64
GT66	1	GlycosylTransferase Family 66
GT69	2	GlycosylTransferase Family 69
GT71	1	GlycosylTransferase Family 71
GT76	1	GlycosylTransferase Family 76
GT90	6	GlycosylTransferase Family 90
Myosin_motor	2	Glycosyltransferase Family 2
PL	3	Polysaccharide Lyase family
PL7	1	Polysaccharide Lyase Family 7
PL7_4	1	Polysaccharide Lyase Family 7 / Subf 4
PL8	1	Polysaccharide Lyase Family 8
PL8_4	1	Polysaccharide Lyase Family 8 / Subf 4
PL20	1	Polysaccharide Lyase Family 20
