Annotations/Genomes	Ambph1	Artfe1_2	Arxad1	Ascru1	Ashgo1_1	Babin1	Botmuc1	Brebr1	Canalb1	Canar1	Canbo1	Canca1	Candu1	Canma1	Canmem1	Canor1	Canpa1	Canta1	Cante1	Cantr1	Cantro1	Cepal1_1	Cepfr1_1	Citma1	Clalu1_2	ClaluMJ12_1	Cybfa1	Cybja1	Debfa1	Debha1	Debsub1	Dekbr2	Erecy1	Erego1	Galgeo1	Hangu1	Hanne1	Hanop1	Hanos1	Hanpo2	Hanuv1	Hanva1_1	Hanva2	Hypbu1	IsorIO21_1	Isori2	Issori2	Issorie2	Kazaf1	Kazna1	Kludo1	Klula1	Kluma1	Klumarx1	Kurca1	LacCBS6924_1	Lacda1	Lacfe1	Lacla1	Lacme1	Lacmi1	Lacno1	Lacqu1	Lacth1	Lipst1_1	Lodelo1	Metbi1	Metbi_SCcomb	Metfru2	Metgru1	Metko1	Metpul1	Metpul1_1	Metreu1	Metvi1	MetyHQL305_1	MetyHQL305_1_1	Meygui1	Milfa1	Mranc1	Myxme1	Nadfu1	Nakbac1	Nakdel1	Nakwi1	Nauca1	Nauda1	Ogapa1	Pacta1_2	Petxy1	Pickud1	Picme2	Picpa1	Picst3	SacAshbya_1	Sacarb1	Sacboulardii_1	Sacca1	Sacce1	SacceM3707_1	SacceM3836_1	SacceM3837_1	SacceM3838_1	SacceM3839_1	SacceYB210_1	SacceYB210_1_copy	Saceu1	Sacku1	Satdi1	Schama1	Schcoi1	Schcry1	Schgos1	Schill1	Schill1_1	Schins1	Schlig1	Schlign1	Schque1	Schseg1_1	Schshe1	Schsti1	Schvir1	Schvir1_1	Schxyl1	Spaarb1	Spapa3	Spasuh1_1	Spola1	Stabo1	Staflo2	Sugame1	Sugli1	Symat1	Tetbla1	Tetpha1	Torde1	Tripe1	Vanpo1	Wican1	Wicdo1	Wicso1	Yarli1	YarliW29	YarliW29_1	YarliY64008_1	YarliYB392	YarliYB419	YarliYB420	YarliYB566	YarliYB567	YarliYlCW001	Yarlip1	YarlipO1F2	Zyghe1_2	Zygro1	Zygrou1	Annotation Description
GT41			1				1																												1																														1																1	1																																																		1						1					1	1		1	1	1	1	1	1	1	1	1	1			GlycosylTransferase Family 41
GT48	3	3	2	4	3	3	1		3	3	3	1						2	3			3	3		7	3		3		2	2	3			3		3			3		5	3	1	4	3	2	3	3			3		3	3										1	3	2	5		2		2	2	2	3	2	2	3		2	1	1							3			3	3	3					3	3	3	3	3	3	5						3			3	3				3	3		3	3	3		3	3	3	2	2	2	2					2	2		4	2		2	2		2	2	2	2	2	2	2	2	2	2	2	2	GlycosylTransferase Family 48
GT50	1	1	1	1	1	1	2		1	1	1	1						1	1			1	1		1	1		1		1	1	1			1		1			1		1	1		1	1	1	1	1			1		1	1										1	1	1	1		1		1	1	1	1	1	1	1		1	1	1							1			1	1	1					1	1	1	1	1	1	1						1			1	1				1	1		1	1	1		1	1	1	1	1	1	1					1	1		1	1		1	1		1	1	1	1	1	1	1	1	1	1	1	1	GlycosylTransferase Family 50
GT57	2	2	2	2	2	2	2		2	2	2	2						2	2			2	2		2	2		2		2	2	2			2		2			2		2	2		2	2	2	2	2			2		2	2										2	2	2	2		2		2	2	2	2	2	2	3		2	2	2							2			2	2	2					2	2	2	2	2	2	2						2			2	2				2	2		2	2	2		2	2	2	2	2	2	2		1			2	2		2	2		2	2		2	2	2	2	2	2	2	2	2	2	2	2	GlycosylTransferase Family 57
GT58	1	1	1	1	1	1	1		1	1	1	1						1	1			1	1		1	1		1		1	1	1			1		1			1		1	1		1	1	1	1	1			1		1	1										1	1	1	1		1	1	2	2	1	1	1	1	1		1	1	1							1			1	1	1					1	1	1	1	1	1	1						1			1	1				2	1		1	1	1		1	1	1	1			1					1	1		1			1	1		1	1	1	1	1	1				1	1	1	GlycosylTransferase Family 58
GT59	1	1	1	1	1	1	1		1	1	1	1						1	1			1	1		1	1		1		1	1	1			1		2			1		1	1		1	1	1	1	1			1		1	1										1	1	1			2		1	1	1	1	1	1	1		1	1	1							1			1	1	1					1	1	1	1	1	1	1						1			1	1				1	1		1	1	1		1	1	1	1	1	1	1					1	1		1	1		1	1		1	1	1	1	1	1	1	1	1	1	1	1	GlycosylTransferase Family 59
GT62	4	4	3	4	3	5	4		4	4	3	3						4	4			5	5		4	4		4		4	4	3			6		3			5		3	3	1	3	3	3	3	3			3		3	4										3	4	4	2		7		5	5	5	6	4	4	4		13	4	3							5			4	3	5					3	3	3	3	3	3	4						4			4	4				5	5		4	4	4		5	5	6	4	3	3	4					3	3		6	3		3	3		3	3	3	3	3	3	3	3	3	4	3	3	GlycosylTransferase Family 62
GT64																																																																	1																1																																																																													GlycosylTransferase Family 64
GT66	1	1	1	1	1	1	1		1	1	1	1						1	1			1	1		1	1		1		1	1	1			1		1			1		1	1	1	1	1	1	1	1			1		1	1										1	1	1	1		1		1	1	1	1	1	1	1		1	1	1							1			1	1	1					1	1	1	1	1	1	1						1			1	1				1	1		1	1	1		1	1	1	1	1	1	1					1	1		1	1		1	1		1	1	1	1	1	1	1	1	1	1	1	1	GlycosylTransferase Family 66
GT69			1																																																														1																1																																																			1									1																	GlycosylTransferase Family 69
GT71	14	3	1	9	8	9	7		12	13	8							9	11			16	15		5	5		15		8	8	4			1		6			11		7	7	7	14	14	15	14	5			5		8	7										1	9	9	3		10		9	9	12	13	9	9	9		20		4							12			11	3	14					6	6	6	6	6	6	5						21			12	12				19	12		13	14	14		16	20	17		2	2	4		1			6	1		17	2		1	1		1	1	1	1	1	1	1	1	1	1	4	4	GlycosylTransferase Family 71
GT76	1	1	1	1	1	1	1		1	1		1						1	1			1	1		1	1		1		1	1	1			1		2			1		1	1		1		1		1			1		1	1										1	1	1	1		1		1	1	1	1	1	1	1		1	1	1							1			1		1					1	1	1	1	1	1	1						1			1	1				1	1		1	1	1		1	1	1	1	1	1	1		1			1	1		1	1		1	1		1	1	1	1	1	1	1	1	1	1	1	1	GlycosylTransferase Family 76
GT90							3					12																																																					1																1																																																																													GlycosylTransferase Family 90
GT91	1			6		3			6	1	3							2	4			3	3		1	1				7	7	5								1					1	1	1	1	3						5											7	3			7		4	4	5	5	4	4	5		8									5			1	4	10																	9			9	10				12	9		11	11	11		9	10	7									2																					GlycosylTransferase Family 91
Myosin_motor			2																																3																														2																1	2																																															1	2	2	2		1				3			2		1	3		2	2	2	2	2	2	3	3	3	2			Glycosyltransferase Family 2
PL	2																		1												1																																																														2																																													3																				Polysaccharide Lyase family
PL1	2																																																																																																																																																													Polysaccharide Lyase Family 1
PL1_7	2																																																																																																																																																													Polysaccharide Lyase Family 1 / Subf 7
PL4																			1												1																																																														1																																																																	Polysaccharide Lyase Family 4
PL4_5																			1												1																																																														1																																																																	Polysaccharide Lyase Family 4 / Subf 5
PL7																																																																																																																																										2																				Polysaccharide Lyase Family 7
PL7_4																																																																																																																																										2																				Polysaccharide Lyase Family 7 / Subf 4
PL20																																																																																																																																										1																				Polysaccharide Lyase Family 20
PL26																																																																																													1																																																																	Polysaccharide Lyase Family 26
