Annotations/Genomes	Ambph1	Artfe1_2	Arxad1	Ascru1	Ashgo1_1	Babin1	Botmuc1	Brebr1	Canalb1	Canar1	Canbo1	Canca1	Candu1	Canma1	Canmem1	Canor1	Canpa1	Canta1	Cante1	Cantr1	Cantro1	Cepal1_1	Cepfr1_1	Citma1	Clalu1_2	ClaluMJ12_1	Cybfa1	Cybja1	Debfa1	Debha1	Debsub1	Dekbr2	Erecy1	Erego1	Galgeo1	Hangu1	Hanne1	Hanop1	Hanos1	Hanpo2	Hanuv1	Hanva1_1	Hanva2	Hypbu1	IsorIO21_1	Isori2	Issori2	Issorie2	Kazaf1	Kazna1	Kludo1	Klula1	Kluma1	Klumarx1	Kurca1	LacCBS6924_1	Lacda1	Lacfe1	Lacla1	Lacme1	Lacmi1	Lacno1	Lacqu1	Lacth1	Lipst1_1	Lodelo1	Metbi1	Metbi_SCcomb	Metfru2	Metgru1	Metko1	Metpul1	Metpul1_1	Metreu1	Metvi1	MetyHQL305_1	MetyHQL305_1_1	Meygui1	Milfa1	Mranc1	Myxme1	Nadfu1	Nakbac1	Nakdel1	Nakwi1	Nauca1	Nauda1	Ogapa1	Pacta1_2	Petxy1	Pickud1	Picme2	Picpa1	Picst3	SacAshbya_1	Sacarb1	Sacboulardii_1	Sacca1	Sacce1	SacceM3707_1	SacceM3836_1	SacceM3837_1	SacceM3838_1	SacceM3839_1	SacceYB210_1	SacceYB210_1_copy	Saceu1	Sacku1	Satdi1	Schama1	Schcoi1	Schcry1	Schgos1	Schill1	Schill1_1	Schins1	Schlig1	Schlign1	Schque1	Schseg1_1	Schshe1	Schsti1	Schvir1	Schvir1_1	Schxyl1	Spaarb1	Spapa3	Spasuh1_1	Spola1	Stabo1	Staflo2	Sugame1	Sugli1	Symat1	Tetbla1	Tetpha1	Torde1	Tripe1	Vanpo1	Wican1	Wicdo1	Wicso1	Yarli1	YarliW29	YarliW29_1	YarliY64008_1	YarliYB392	YarliYB419	YarliYB420	YarliYB566	YarliYB567	YarliYlCW001	Yarlip1	YarlipO1F2	Zyghe1_2	Zygro1	Zygrou1	Annotation Description
GH5_12	1	1	2	1	1	1	1		1	1	1	1						1	1			1	1		1	1		1		1	1	1			3					1				1	1	1	1	1	2			1		1	1										1	1	1	1		1		1	1	1	1	1	1	2		1	1	2							1			1	1	1					1	1	1	1	1	1	1						1			1	1				1	1		1	1	1		1	1	1	1	1	1	2					1	1		1	1		2	2		2	2	2	2	2	2	2	2	2	2	1	1	Glycoside Hydrolase Family 5 / Subf 12
GH5_16																																																																	1																1																																																																													Glycoside Hydrolase Family 5 / Subf 16
GH5_22	4					1												1	2			2			1	1		1		1	1																								1										1		1			1		1	1	1	1	1	1	1		2	1													3																	1			3	3				1	3		3	1	1		1	1	1				2																							1			Glycoside Hydrolase Family 5 / Subf 22
GH5_49	2	1	1	2	1	1	1		1	1	1	1						1	1			1	1		1	1		2		1	1	1			2					1				1	1	1	1	1	2			1		1	1										1	1	3	1		2		3	3	2	4	3	3	1		4	1	1							1			1	1	1					1	1	1	1	1	1	1						1			1	1				1	1		1	1	1		1	1	1	1	1	1	1					1	1		1			1	1		1	1	1	1	1	1	1	1	1	1	1	1	Glycoside Hydrolase Family 5 / Subf 49
GH10																																																																																														1																				1	1					1		1	2	2								4																										Glycoside Hydrolase Family 10
GH13	5	2	4	2	2	5	2		4	2	2	2						4	4			2	2		4	3		3		4	3	6			3		1			3		1	1	2	2	2	2	2	2			4		2	2										24	3	3	6		6	1	5	5	4	3	4	4	5		6	3	5							2			2	1	7					9	8	8	6	8	10	8						4			6	6				4	6		8	4	4		4	4	4	2	2	2	2		2			5	3		5	2		2	2		2	2	2	2	2	2	2	2	2	2	2	2	Glycoside Hydrolase Family 13
GH13_1																																																																	3																																																																					1																								Glycoside Hydrolase Family 13 / Subf 1
GH13_5																																																																	1																1																																																																													Glycoside Hydrolase Family 13 / Subf 5
GH13_8	1	1	1	1	1	1	1		1	1	1	1						1	1			1	1		1	1		1		1	1	1			1		1			1		1	1		1	1	1	1	1			1		1	1										1	1	1	3		1		1	1	1	1	1	1	1		2	1	1							1			1		1					1	1	1	1	1	1	1						1			1	1				1	2		1	1	1		1	1	1	1	1	1	1					1	1		1	1		1	1		1	1	1	1	1	1	1	1	1	1	1	1	Glycoside Hydrolase Family 13 / Subf 8
GH13_25	1	1	1	1	1	1	1		1	1	1	1						1	1			1	1		1	1		1		1	1	1			2					1				1	1	1	1	1	1					1	1										1	1	1	1		2	1	1	1	1	1	1	1	1		1	1	1							1			1	1	1					1	1	1	1	1	1	2						1			1	1				1	1		1	1	1		1	1	1	1	1	1	1		1			1	1		1	1		1	1		1	1	1	1	1	1	1	1	1	1	1	1	Glycoside Hydrolase Family 13 / Subf 25
GH13_40	3		2			3			2									2	2						2	1		1		2	1	4								1				1								2													18	1	1	2		3		3	3	2	1	2	2	3		3		3												5					7	6	5	4	6	8	4						2			4	4				2	3		6	2	2		2	2	2									3	1		3																		Glycoside Hydrolase Family 13 / Subf 40
GH15	2	1	2	2	1	1	1		1	1	1	1						1	1			1	1		1	1		1		1	1	1			2		2			1		2	2		1	1	1	1	1			1		1	1										1	1	1	1		1		1	1	1	1	1	1	1		1	1	1							1			1	1	1					1	1	1	1	1	1	1						1			1	1				1	1		1	1	1		1	1	1	1			1		1			1	1		3	1		1	1		1	1	1	1	1	1	1	1	1	1	1	1	Glycoside Hydrolase Family 15
GH16	10	8	5	8	3	6	4		7	3	3	6						8	5			8	9		6	6		4		9	10	2			6		2			2		3	3	5	3	3	3	3	6			4		4	3										5	6	4	7		4		5	5	4	4	5	5	5		5	5	3							4			4	3	6					5	5	5	5	5	5	5						6			6	6				6	6		6	12	12		7	7	7	3	3	3	5		1			4	5		5	4		4	5		5	5	5	5	5	5	5	5	5	4	5	5	Glycoside Hydrolase Family 16
GH17	5	9	4	4	2	4	3		5	6	5	2						5	4			5	5		5	4		5		5	5	5			7		3			5		3	3	3	4	4	4	4	4			4		4	5										7	4	5	7		4		5	5	5	4	5	5	3		5	4	3							4			5	4	5					4	4	4	4	4	4	4						4			5	5				5	5		5	5	5		5	5	5	7	2	2	5					3	6		6	4		5	6		6	6	6	6	6	6	5	6	6	5	3	3	Glycoside Hydrolase Family 17
GH18	5	22	4	5	1	3	2		4	3	2	4						2	2			2	2		2	2		3		5	3	3			6		2			3		2	2	2	3	3	3	3	3			2		2	3										5	3	1	1		5		4	4	3	4	4	4	3		8	4	3							3			4	1	4					2	2	2	2	2	2	2						4			4	4				4	4		4	5	5		5	5	5	2	2	3	4		1			2	17		4	3		3	3		3	3	3	3	3	3	3	3	3	4	2	2	Glycoside Hydrolase Family 18
GH20			2						1										1						1	1				1	1				1									1											1											1												2																1																	1			1	1				1	1		1	1	1		1	1	1				1						5																	1			Glycoside Hydrolase Family 20
GH25																																																																																																																																						1				2																				Glycoside Hydrolase Family 25
GH27			1																1			1								1	1																																		3													2																						1	1	1	1	1	1																		1	1													1	5																				Glycoside Hydrolase Family 27
GH28	3	1		1	1																		1												6																			1																											2																		1	1	1	1	1	1	1																											1																							1			Glycoside Hydrolase Family 28
GH29																																																							1																																																																																																				1			Glycoside Hydrolase Family 29
GH30			1																																																																																																																																	1																										Glycoside Hydrolase Family 30
GH30_3			1																																																																																																																																																											Glycoside Hydrolase Family 30 / Subf 3
GH30_7																																																																																																																																				1																										Glycoside Hydrolase Family 30 / Subf 7
GH31	5	1	4	1	1	1	2		3	1	1	2						1	3			1	1		3	2		2		3	3	1			1		1			1		1	1	2	1	1	1	1	1			1		1	2										6	1	1	1		1		1	1	1	1	1	1	2		1	4	1							1			1	1	3					1	1	1	1	1	1	1						1			3	3				1	3		3	3	3		3	3	3	2	1	2	1					1	3		2	1		1	1		1	1	1	1	1	1	1	1	1	3	2	3	Glycoside Hydrolase Family 31
GH32		1	2		1																							1		1	1	1												1								1		1											9													1																					1	1	1	1	1	1	2																									1	1			1			2			2	1		1	1		1						1	1	1	1	1	1	Glycoside Hydrolase Family 32
GH35																																																																	1																1																																																			2																							2			Glycoside Hydrolase Family 35
GH36			2				1																																																										4																2																																																			1						1																	1			Glycoside Hydrolase Family 36
GH37	1	2	1	1	1	1	1		1	1	1	1						1	1			1	1		1	1		1		1	1	1			1		2			1		1	1	1	1	1	1	1	1			1		1	1										1	1	1	1		1		2	1	1	1	2	1	1		2	1	1							1			1	1	1					2	2	2	2	2	2	2						1			1	1				1	1		1	1	1		1	1	1	1	1	1	1					1	1		1	1		1	1		1	1	1	1	1	1	1	1	1	1	1	1	Glycoside Hydrolase Family 37
GH38	1	1	2	1	1	1	1		1	1	1	1						1	1			1	1		1	1		1		1	1	1			1		1			1		2	1	1	1	1	1	1	1						1										1	1	1	1		1		1	1	1	1	1	1	1		1	1	1							1			1	1	1					1	1	1	1	1	1	1						1			1	1				1	1		1	1	1		1	1	1	1	1	1	2					1	3		1	1		1	1		1	1	1	1	1	1	1	1	1	2	1	1	Glycoside Hydrolase Family 38
GH43		1	1																											1																																																			2																																																																													Glycoside Hydrolase Family 43
GH45	3	1		2			1																1												4																																																										1																																																																	Glycoside Hydrolase Family 45
GH47	2	2	3	3	3	3	4		2	2	2	2						2	2			3	3		2	2		3		2	2	2			5		2			2		5	3		2	2	2	3	3			3		3	2										4	2	2	2		2		2	2	2	2	2	2	2		2	4	4							3			2	2	2					3	3	3	3	3	3	3						2			2	2				3	2		2	2	2		2	3	2	3			3					3	3		3	1		3	3		3	3	3	3	3	3	2	3	3	3	3	3	Glycoside Hydrolase Family 47
GH49																																																																	1																																																																																													Glycoside Hydrolase Family 49
GH51			1							1									1											1	1																								1																										4																																																			1																										Glycoside Hydrolase Family 51
GH55																																																																																																																																										6																				Glycoside Hydrolase Family 55
GH63	1	1	1	1	1	1	1		1	1	1	1						1	1			1	1		1	1		1		1	1	1			1					1		1	1		1	1	1	1	1			1		1	1										1	1	1	1		1		2	2	1	1	1	1	1		1	1	1							1			1	1	1					1	1	1	1	1	1	1						1			1	1				1	1		1	1	1		1	1	1	1	1	1	1					1	1		1	1		1	1		1	1	1	1	1	1	1	1	1	1	1	1	Glycoside Hydrolase Family 63
GH65	1		1	1	1		2		1	1		1						1	1			1	1		1	1		1		1	1	1					1			1		1	1	1					1			1		1	1										1	1	1	3		1		1	1	1	1	1	1	1		1	1	1											1	1					1	1	1	1	1	1	1						1			1	1				1	1		1	1	1		1	1	1	1			1					1	1		1			1	1		1	1	1	1	1	1	1	1	1	1	1	1	Glycoside Hydrolase Family 65
GH67			1																																																																																																																																																											Glycoside Hydrolase Family 67
GH71																																																																	1																																																																									2																				Glycoside Hydrolase Family 71
GH72	5	5	4	7	6	6	4		5	6	5	6						4	5			8	8		6	4		6		4	4	5			6		3			6		3	3	3	5	5	5	5	6			6		6	5										3	2	5	4		6	1	5	5	5	5	5	5	4		6	3	3							6			6	4	5					5	5	5	5	5	5	5						5			5	5				5	6		5	5	5		5	5	5	4	4	4	4		2			5	4		6	4		4	4		4	4	4	4	4	4	4	4	4	4	5	5	Glycoside Hydrolase Family 72
GH75																																																																																																																																										4																				Glycoside Hydrolase Family 75
GH76	9	6	5	5	5	5	3		3	4	5	2						3	4			3	4		3	3		5		3	3	2			6		4			3		2	2	3	4	4	4	4	3			2		2	3										6	3	3	2		4		4	4	5	5	4	4	3		7	3	1							4			4	2	3					2	2	2	2	2	2	2						3			3	3				3	3		3	3	4		5	4	4	3	3	3	4					2	5		6	2		6	6		6	6	6	6	6	6	5	6	6	5	2	2	Glycoside Hydrolase Family 76
GH78	1		1																						1	1				1	1									1															5										4													1			1												1																																																		1	1		1	1	1	1	1	1	1	1	1				Glycoside Hydrolase Family 78
GH81	3	4	2	4	2	3	4		2	3	2	4						2	3			3	3		3	3		1		2	2	2			3		2			2		2	2	2	1	1	1	1	1			2		2	3										3	1	3	1		3		4	4	1	3	4	4	3		3	2	2							3			2	2	3					2	2	2	2	2	2	2						2			3	3				3	3		3	3	3		3	3	3	2	2	2	2					2	3		2	2		4	5		4	4	4	4	4	4	4	4	4	3	1	2	Glycoside Hydrolase Family 81
GH85	1	1		1	1	1				1	1											1	1					1				1								1															1										1																1								1																																																			1																1	1	Glycoside Hydrolase Family 85
GH88			1															1	1											5	4																																		1													1			1																																										1	1								1						3																	1			Glycoside Hydrolase Family 88
GH89																																																																	1																																																																																													Glycoside Hydrolase Family 89
GH92			1		1				1									1												1	1						1					1	1	1								1		1												1												1											1																						1																					1		1				1		1																		Glycoside Hydrolase Family 92
GH93																																																							1																										1																																																																													Glycoside Hydrolase Family 93
GH95																																																																																																																																										1																				Glycoside Hydrolase Family 95
GH105																			1											1	1																																																		2												1																											1		1	1	1																															1			Glycoside Hydrolase Family 105
GH106																																																							5																																																																																																							Glycoside Hydrolase Family 106
GH114																			1											1	1																																															1																																				1	1					2			1	1										1				1																				Glycoside Hydrolase Family 114
GH115																			1																																																																											1																	1			1	1				1	1		1	1	1		1	1	1				1																							1			Glycoside Hydrolase Family 115
GH125	1	1	2	1	1	1	1		1	1	1	1						1	1			1	1		1	1		1		1	1	1			1					1					1	1	1	1				1		1	1										1	1	1	1		1		1	1	1	1	1	1	1		1	1	2							1			1	1	1																	1			1	1				1	1		1	1	1		1	1	1	1	1	1	1		2				4		1	1		1	1		1	1	1	1	1	1	1	1	1	1			Glycoside Hydrolase Family 125
GH127			1							2									1																																																											1											1																																																																					Glycoside Hydrolase Family 127
GH128																																																																																																																																																											1			Glycoside Hydrolase Family 128
GH130									1									1	1						1	1				1	1																																			1	1			1		1	1	1	1	1	1	1		1														1																	1			1	1				1	1		1	1	1		1	1	1																														Glycoside Hydrolase Family 130
GH132	6	7	2	3	3	2	1		3	3	3	1						3	2			3	3		3	3		3		3	3	3			4		3			3		3	3	1	3	3	3	3	4			3		3	3										2	4	3	2		6		3	3	3	3	3	3	3		5	2	3							3			3	3	3					5	5	5	5	5	5	5						2			3	3				3	3		3	3	3		2	2	2	3	1	1	2					3	2		3	1		2	2		2	2	2	2	2	2	2	2	2	2	3	3	Glycoside Hydrolase Family 132
GH133	1	1	1	1	1	1	1		1	1	1	1						1	1			1	1		2	1		1		1	1	1			2					1				1	1	1	1	1	1					1	1										1	1	1	1		2	1	1	1	1	1	1	1			1	1	1							1			1	1	1					1	1	1	1	1	1	1						1			1	1				1	1		1	1	1		1	1	1	1	1	1	1		1			1	1		1	1		1	1		1	1	1	1	1	1	1	1	1	1	1	1	Glycoside Hydrolase Family 133
GH145																			1											1																																																1			1																																																																													Glycoside Hydrolase Family 145
GH154																			1											4	2																																															1			1													1																	1			1	1					1		1	2	2								2		1				1																	2			Glycoside Hydrolase Family 154
GT	106	62	68	81	58	74	81		74	84	80	61						67	72			82	80		67	61		84		73	73	69			87		56			79		58	56	37	80	78	78	79	70			62		65	78										96	76	65	54		81	5	70	70	72	74	68	68	72		106	76	66							76			77	60	83					68	68	68	68	68	68	68						88			79	80				91	81		82	84	89		94	101	93	69	53	59	78		9			61	71		87	60		59	60		60	60	60	60	60	60	53	59	59	66	57	58	Glycosyl Transferase family
GT1	3	3	3	3	3	2	3		3	3	3	3						3	3			3	3		3	2		3		3	3	3			4		2			2		2	2	1	3	3	2	3	3			3		3	3										4	3	3	3		3	1	3	3	3	3	3	3	2		5	3	3							3			3	3	3					3	3	3	3	3	3	4						3			3	3				3	3		3	3	3		3	3	3	3	5	5	3					3	3		4	1		3	3		3	3	3	3	3	3	3	3	3	3	3	3	GlycosylTransferase Family 1
GT2	6	7	9	7	5	7	7		6	6	5	6						6	6			6	6		7	6		5		6	6	6			14		4			6		5	5	5	6	6	6	6	6			5		5	6										9	7	6	6		7	2	6	6	6	6	6	6	6		7	9	9							5			6	5	7					5	5	5	5	5	5	4						6			7	7				6	7		7	8	13		6	6	6	7	8	8	9		1			5	10		5	8		9	9		9	9	9	9	9	9	8	9	9	9	5	5	GlycosylTransferase Family 2
GT3	1	1	1	1	1	1	1		1	1	1	1						1	1			1	1		1	1		2		1	1	1			2		1			1		1	1	1	1	1	1	1	2			1		1	1										1	1	1	1		1		1	1	1	1	1	1	1		1	1	1							1			1	1	1					2	2	2	2	2	2	1						1			1	1				1	1		1	1	1		1	1	1	2	1	1	1					1	1		1	1		1	1		1	1	1	1	1	1	1	1	1	1	1	1	GlycosylTransferase Family 3
GT4	3	3	3	3	3	3	4		3	3	3	4						3	3			3	3		3	3		3		3	3	3			4		4			3		3	3	3	3	3	3	3	3			3		3	3										5	3	3	4		4		3	3	3	3	3	3	3		4	4	3							3			3	3	3					3	3	3	3	3	3	3						3			3	3				3	3		3	3	3		3	3	3	3	3	3	3					3	3		3	3		4	4		4	4	4	4	4	4	3	4	4	3	3	3	GlycosylTransferase Family 4
GT8	7	3	2	3	1	4	2		3	3	3	2						3	1			4	4		2	2		5		3	3	3			4		1			2		1	1	2	3	3	3	3	2			3		3	3										5	3	1			1		1	1	1	1	1	1	3		1	4	2							2			3	2	3					3	3	3	3	3	3	3						3			3	3				3	3		3	3	3		3	3	3	6	2	2	5					2	3		5	2		3	3		3	3	3	3	3	3	3	3	3	2	2	3	GlycosylTransferase Family 8
